Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CULP,"Culp, Inc.",11.59,$142.38M,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/culp
CMI,Cummins Inc.,209,$30.86B,n/a,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cmi
CURO,CURO Group Holdings Corp.,7.44,$304.19M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/curo
CW,Curtiss-Wright Corporation,101.8,$4.23B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw
SRV,Cushing MLP & Infrastructure Total Return Fund,18.785,$41.01M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/srv
SZC,Cushing NextGen Infrastructure Income Fund,31.09,$80.89M,2012,n/a,n/a,https://old.nasdaq.com/symbol/szc
CWK,Cushman & Wakefield plc,11.01,$2.43B,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/cwk
CUBB,"Customers Bancorp, Inc",22.95,n/a,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/cubb
CUBI,"Customers Bancorp, Inc",12.33,$388.57M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cubi
CUBI^C,"Customers Bancorp, Inc",24.01,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^c
CUBI^D,"Customers Bancorp, Inc",23.377,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^d
CUBI^E,"Customers Bancorp, Inc",23.615,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^e
CUBI^F,"Customers Bancorp, Inc",22.73,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^f
CVI,CVR Energy Inc.,17.31,$1.74B,2007,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi
UAN,"CVR Partners, LP",0.942,$104.79M,2011,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/uan
CVS,CVS Health Corporation,63.72,$83.39B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/cvs
CELP,"Cypress Environmental Partners, L.P. ",2.53,$30.89M,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/celp
DHI,"D.R. Horton, Inc.",74.6,$27.13B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi
DEH.U,D8 Holdings Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/deh.u
DAN,Dana Incorporated,14.17,$2.05B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dan
DHR,Danaher Corporation,205.66,$145.9B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr
DHR^A,Danaher Corporation,1439.15,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dhr^a
DHR^B,Danaher Corporation,1230.31,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dhr^b
DAC,Danaos Corporation,5.19,$128.66M,2006,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dac
DQ,DAQO New Energy Corp.,122.87,$1.71B,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/dq
DRI,"Darden Restaurants, Inc.",80.91,$10.52B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/dri
DAR,Darling Ingredients Inc.,32.54,$5.27B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/dar
DVA,DaVita Inc.,86.72,$10.58B,n/a,Health Care,Misc Health and Biotechnology Services,https://old.nasdaq.com/symbol/dva
DCP,DCP Midstream LP,13.65,$2.84B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/dcp
DCP^B,DCP Midstream LP,19.82,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dcp^b
DCP^C,DCP Midstream LP,19.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dcp^c
DECK,Deckers Outdoor Corporation,207.76,$5.82B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/deck
DE,Deere & Company,191.1,$59.79B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de
DEX,Delaware Enhanced Global Dividend,9.06,$108.79M,2007,n/a,n/a,https://old.nasdaq.com/symbol/dex
DDF,"Delaware Investments Dividend & Income Fund, Inc.",8.69,$66.81M,1993,n/a,n/a,https://old.nasdaq.com/symbol/ddf
DKL,"Delek Logistics Partners, L.P.",34.3,$1.49B,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
DK,"Delek US Holdings, Inc.",16.04,$1.18B,2017,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk
DELL,Dell Technologies Inc.,59.66,$44.2B,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell
DLPH,Delphi Technologies PLC,17.31,$1.49B,2017,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph
DAL,"Delta Air Lines, Inc.",27.62,$17.62B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal
DLX,Deluxe Corporation,29.7,$1.24B,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx
DBI,Designer Brands Inc.,6.54,$471.58M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi
DESP,"Despegar.com, Corp.",8.28,$576.69M,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp
DB,Deutsche Bank AG,9.34,$19.21B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/db
DVN,Devon Energy Corporation,10.69,$4.09B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dvn
DHX,"DHI Group, Inc.",2.7,$142.9M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx
DHT,"DHT Holdings, Inc.",6.23,$918.43M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht
DEO,Diageo plc,137.33,$80.25B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo
DSSI,Diamond S Shipping Inc.,8.34,$337.27M,2019,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/dssi
DRH,Diamondrock Hospitality Company,5.18,$1.03B,2005,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/drh
DSX,Diana Shipping inc.,1.42,$126.77M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dsx
DSX^B,Diana Shipping inc.,21.91,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dsx^b
DKS,Dick&#39;s Sporting Goods Inc,45.23,$4.05B,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks
DBD,Diebold Nixdorf Incorporated,8.04,$624.5M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
DMS,"Digital Media Solutions, Inc.",8.64,n/a,2018,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dms
DMS.WS,"Digital Media Solutions, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dms.ws
DLR,"Digital Realty Trust, Inc.",155.15,$41.73B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr
DLR^C,"Digital Realty Trust, Inc.",26.06,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^c
DLR^G,"Digital Realty Trust, Inc.",25.68,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^g
DLR^I,"Digital Realty Trust, Inc.",25.28,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^i
DLR^J,"Digital Realty Trust, Inc.",26.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^j
DLR^K,"Digital Realty Trust, Inc.",27.53,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^k
DLR^L,"Digital Realty Trust, Inc.",27.6,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^l
DDS,"Dillard&#39;s, Inc.",25.97,$603.28M,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",20.973,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/ddt
DIN,"Dine Brands Global, Inc.",53.61,$880.23M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din
DFS,Discover Financial Services,49.94,$15.3B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
DNI,Dividend and Income Fund,11.15,$138.81M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dni
DMYT,"dMY Technology Group, Inc.",10.59,$304.46M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/dmyt
DMYT.U,"dMY Technology Group, Inc.",n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.u
DMYT.WS,"dMY Technology Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dmyt.ws
DMYD.U,"dMY Technology Group, Inc. II",n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dmyd.u
DLB,Dolby Laboratories,68.86,$6.93B,2005,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb
DG,Dollar General Corporation,197.8,$49.79B,2009,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg
D,"Dominion Energy, Inc.",77.7,$65.28B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d
DCUE,"Dominion Energy, Inc.",101.27,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dcue
DRUA,"Dominion Energy, Inc.",26.14,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/drua
DPZ,Domino&#39;s Pizza Inc,418.33,$16.46B,2004,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz
UFS,Domtar Corporation,28.23,$1.56B,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/ufs
DCI,"Donaldson Company, Inc.",50.15,$6.33B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
DFIN,"Donnelley Financial Solutions, Inc.",10.99,$371.78M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin
LPG,Dorian LPG Ltd.,8.61,$439.37M,2014,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/lpg
DSL,DoubleLine Income Solutions Fund,16.15,$1.64B,2013,n/a,n/a,https://old.nasdaq.com/symbol/dsl
DBL,DoubleLine Opportunistic Credit Fund,19.51,$291.56M,2012,n/a,n/a,https://old.nasdaq.com/symbol/dbl
DLY,DoubleLine Yield Opportunities Fund,18.73,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dly
PLOW,"Douglas Dynamics, Inc.",38.62,$882.75M,2010,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/plow
DEI,"Douglas Emmett, Inc.",27.98,$4.91B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei
DOV,Dover Corporation,109.99,$15.84B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov
DVD,"Dover Motorsports, Inc.",1.435,$52.22M,1996,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dvd
DOW,Dow Inc.,43.69,$32.38B,2019,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow
RDY,Dr. Reddy&#39;s Laboratories Ltd,59.65,$9.9B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rdy
DGNR.U,Dragoneer Growth Opportunities Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/dgnr.u
DRD,DRDGOLD Limited,14.33,$1.23B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd
DRQ,"Dril-Quip, Inc.",33.87,$1.19B,1997,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq
DS,Drive Shack Inc.,1.5,$100.82M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ds
DS^B,Drive Shack Inc.,10.445,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^b
DS^C,Drive Shack Inc.,9.8,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^c
DS^D,Drive Shack Inc.,12.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ds^d
DTE,DTE Energy Company,115.46,$22.24B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dte
DTJ,DTE Energy Company,25.96,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtj
DTP,DTE Energy Company,45.5,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtp
DTQ,DTE Energy Company,25.26,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtq
DTW,DTE Energy Company,26.81,n/a,2017,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dtw
DTY,DTE Energy Company,27.15,n/a,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dty
DCO,Ducommun Incorporated,38.72,$452.38M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
DSE,Duff & Phelps Select MLP and Midstream Energy Fund,0.4823,$12.65M,2014,n/a,n/a,https://old.nasdaq.com/symbol/dse
DNP,"Duff & Phelps Utilities Income, Inc.",10.72,$3.26B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.4,$122.7M,1991,n/a,n/a,https://old.nasdaq.com/symbol/dtf
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.29,$255.43M,1993,n/a,n/a,https://old.nasdaq.com/symbol/duc
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,11.51,$436.57M,2011,n/a,n/a,https://old.nasdaq.com/symbol/dpg
DUK,Duke Energy Corporation,81.04,$59.6B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk
DUK^A,Duke Energy Corporation,28.46,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/duk^a
DUKB,Duke Energy Corporation,28.08,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukb
DUKH,Duke Energy Corporation,25.95,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/dukh
DRE,Duke Realty Corporation,38.1,$14.12B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre
DNB,"Dun & Bradstreet Holdings, Inc.",26.04,$11.01B,2020,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dnb
DD,"DuPont de Nemours, Inc.",56.11,$41.18B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
DXC,DXC Technology Company,19.13,$4.86B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dxc
DY,"Dycom Industries, Inc.",46.41,$1.47B,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/dy
DLNG,Dynagas LNG Partners LP,3.04,$107.89M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,22.26,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^a
DLNG^B,Dynagas LNG Partners LP,18.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^b
DT,"Dynatrace, Inc.",40.12,$11.28B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/dt
DX,"Dynex Capital, Inc.",15.9,$367.94M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dx
DX^B,"Dynex Capital, Inc.",24.42,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^b
DX^C,"Dynex Capital, Inc.",22.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dx^c
CTA^A,E.I. du Pont de Nemours and Company,85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^a
CTA^B,E.I. du Pont de Nemours and Company,106.35,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^b
ELF,"e.l.f. Beauty, Inc.",18.85,$956.11M,2016,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/elf
EXP,Eagle Materials Inc,81.41,$3.4B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/exp
ECC           ,Eagle Point Credit Company Inc.,7.91,$250.55M,2014,n/a,n/a,https://old.nasdaq.com/symbol/ecc
ECCB,Eagle Point Credit Company Inc.,24.73,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/eccb
ECCX,Eagle Point Credit Company Inc.,24.31,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/eccx
ECCY,Eagle Point Credit Company Inc.,24.25,n/a,2017,n/a,n/a,https://old.nasdaq.com/symbol/eccy
EIC,Eagle Point Income Company Inc.,12.95,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/eic
ESTE,"Earthstone Energy, Inc.",3.08,$200.46M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/este
DEA,"Easterly Government Properties, Inc.",24.21,$1.93B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
EGP,"EastGroup Properties, Inc.",133.52,$5.25B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/egp
EMN,Eastman Chemical Company,71.45,$9.67B,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/emn
KODK,Eastman Kodak Company,7.18,$543.41M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/kodk
ETN,"Eaton Corporation, PLC",99.47,$39.8B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/etn
ETV,Eaton Vance Corporation,14.67,$1.33B,2005,n/a,n/a,https://old.nasdaq.com/symbol/etv
ETW,Eaton Vance Corporation,9.14,$982.43M,2005,n/a,n/a,https://old.nasdaq.com/symbol/etw
EV,Eaton Vance Corporation,38.13,$4.36B,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ev
EOI,Eaton Vance Enhance Equity Income Fund,15.75,$619.35M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eoi
EOS,Eaton Vance Enhanced Equity Income Fund II,19.22,$954.85M,2005,n/a,n/a,https://old.nasdaq.com/symbol/eos
EFT,Eaton Vance Floating Rate Income Trust,12.03,$479.56M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eft
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,8.63,$203.81M,2017,n/a,n/a,https://old.nasdaq.com/symbol/efl
EFF,Eaton vance Floating-Rate Income Plus Fund,14.37,$109.3M,2013,n/a,n/a,https://old.nasdaq.com/symbol/eff
EHT,Eaton Vance High Income 2021 Target Term Trust,9.73,$208.85M,2016,n/a,n/a,https://old.nasdaq.com/symbol/eht
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,21.21,$229.96M,2013,n/a,n/a,https://old.nasdaq.com/symbol/etx
EOT,Eaton Vance Municipal Income Trust,20.61,$315.61M,2009,n/a,n/a,https://old.nasdaq.com/symbol/eot
EVN,Eaton Vance Municipal Income Trust,12.96,$514.09M,1999,n/a,n/a,https://old.nasdaq.com/symbol/evn
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,10.29,$656.51M,2007,n/a,n/a,https://old.nasdaq.com/symbol/etj
EFR,Eaton Vance Senior Floating-Rate Fund,11.96,$440.71M,2003,n/a,n/a,https://old.nasdaq.com/symbol/efr
EVF,Eaton Vance Senior Income Trust,5.88,$222.66M,1998,n/a,n/a,https://old.nasdaq.com/symbol/evf
EVG,Eaton Vance Short Diversified Income Fund,11.5,$205.63M,2005,n/a,n/a,https://old.nasdaq.com/symbol/evg
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,20.43,$1.5B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evt
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,21.85,$342.63M,2004,n/a,n/a,https://old.nasdaq.com/symbol/eto
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,15.63,$1.19B,2004,n/a,n/a,https://old.nasdaq.com/symbol/etg
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,14.08,$374.27M,2005,n/a,n/a,https://old.nasdaq.com/symbol/etb
EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund,9.56,$93.03M,2010,n/a,n/a,https://old.nasdaq.com/symbol/exd
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.4,$1.73B,2006,n/a,n/a,https://old.nasdaq.com/symbol/ety
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,7.78,$2.36B,2007,n/a,n/a,https://old.nasdaq.com/symbol/exg
ECL,Ecolab Inc.,194.41,$55.48B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ecl
EC,Ecopetrol S.A.,11.34,$23.31B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ec
EPC,Edgewell Personal Care,30.46,$1.66B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/epc
EIX,Edison International,51.24,$19.38B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eix
EW,Edwards Lifesciences Corporation,79.1,$49.18B,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ew
EP^C,El Paso Corporation,49.35,n/a,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/ep^c
ELAN,Elanco Animal Health Incorporated,27.58,$13.01B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elan
ELAT,Elanco Animal Health Incorporated,44.72,n/a,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/elat
ESTC,Elastic N.V.,106.98,$9.12B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/estc
EGO,Eldorado Gold Corporation,11.44,$1.99B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ego
ESI,Element Solutions Inc.,10.66,$2.65B,2014,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/esi
ELVT,"Elevate Credit, Inc.",2.18,$88.92M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/elvt
LLY,Eli Lilly and Company,151.34,$144.75B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/lly
EFC,Ellington Financial Inc.,12.43,$544.16M,2010,Finance,Real Estate,https://old.nasdaq.com/symbol/efc
EFC^A,Ellington Financial Inc.,21.95,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/efc^a
EARN,Ellington Residential Mortgage REIT,11.03,$135.89M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/earn
AKO.A,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ako.b
ERJ,Embraer S.A.,5.12,$941.42M,2000,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/erj
EME,"EMCOR Group, Inc.",74.18,$4.07B,n/a,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/eme
EEX,"Emerald Holding, Inc.",2.8,$200.14M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/eex
EBS,"Emergent Biosolutions, Inc.",131.12,$6.94B,2006,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ebs
EMR,Emerson Electric Company,67.66,$40.43B,n/a,Energy,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/emr
ESRT,"Empire State Realty Trust, Inc.",6.22,$1.81B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/esrt
EIG,Employers Holdings Inc,32.59,$953.94M,2007,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/eig
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),3.7141,$162.51M,2007,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/edn
ENBL,"Enable Midstream Partners, LP",5.41,$2.36B,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enbl
ENB,Enbridge Inc,32.79,$66.41B,n/a,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enb
ENBA,Enbridge Inc,25.05,n/a,2018,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/enba
EHC,Encompass Health Corporation,61.69,$6.13B,n/a,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/ehc
DAVA,Endava plc,54.9,$3.02B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/dava
EXK,Endeavour Silver Corporation,3.86,$598.02M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/exk
ENIA,Enel Americas S.A.,7.08,$10.8B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enia
ENIC,Enel Chile S.A.,3.82,$5.28B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/enic
ENR,"Energizer Holdings, Inc.",46.39,$3.18B,2015,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/enr
ENR^A,"Energizer Holdings, Inc.",97.17,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/enr^a
ET,Energy Transfer L.P.,6.65,$17.93B,1996,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/et
ETP^C,"Energy Transfer Operating, L.P.",20.37,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^c
ETP^D,"Energy Transfer Operating, L.P.",20.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^d
ETP^E,"Energy Transfer Operating, L.P.",21.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/etp^e
EPAC,Enerpac Tool Group Corp.,20.35,$1.22B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/epac
ERF,Enerplus Corporation,2.88,$640.94M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/erf
ENS,Enersys,72.25,$3.07B,2004,Consumer Non-Durables,Telecommunications Equipment,https://old.nasdaq.com/symbol/ens
E,ENI S.p.A.,18.7,$33.4B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/e
ENLC,"EnLink Midstream, LLC",3.05,$1.49B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/enlc
EBF,"Ennis, Inc.",18.11,$472.18M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/ebf
ENVA,"Enova International, Inc.",15.99,$481.45M,2014,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/enva
NPO,EnPro Industries,57.13,$1.17B,n/a,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/npo
ETM,Entercom Communications Corp.,1.67,$230.47M,1999,Consumer Services,Broadcasting,https://old.nasdaq.com/symbol/etm
EAB,"Entergy Arkansas, LLC",26.19,n/a,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eab
EAE,"Entergy Arkansas, LLC",26,n/a,2013,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/eae
